.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR12873146_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873146_2	1	0.25	1	0.25	1	1	1	0.25	0.25	1
SRR12873147_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873147_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873148_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873148_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873149_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873149_2	1	0.25	1	0.25	1	1	1	0.25	0.25	1
SRR12873150_1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873150_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873151_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873151_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873152_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873152_2	1	0.25	1	0.25	1	1	1	0.25	0.25	1
SRR12873153_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873153_2	1	0.25	1	0.25	1	1	1	0.25	0.25	1
SRR12873154_1	1	0.25	1	0.25	1	1	1	0.25	0.25	1
SRR12873154_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873155_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873155_2	1	0.25	1	0.25	1	1	1	0.25	0.25	1
SRR12873156_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873156_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873157_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873157_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873158_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873158_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873159_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873159_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873160_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR12873160_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873161_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873161_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873162_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873162_2	1	0.25	1	0.25	1	1	1	0.25	0.25	1
SRR12873163_1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873163_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR12873164_1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
