Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR12873146_1	(1, 33.8412121823655)	(2, 37.819316213443656)	(3, 37.78327699577889)	(4, 37.73840875838757)	(5, 37.76933555320115)	(6, 37.73480988177522)	(7, 37.682743891159205)	(8, 37.78879303096043)	(9, 37.477675192977145)	(10, 37.70226191076804)	(15, 37.77097354657518)	(20, 37.649923481829035)	(25, 37.68299278542959)	(30, 37.56661116997124)	(35, 37.5625683197955)	(40, 37.543030119570155)	(45, 37.68747288229655)	(50, 37.507414694852265)	(55, 37.655214166792796)	(60, 37.68256226561054)	(65, 37.538058961034594)	(70, 37.425259405008156)	(75, 37.61642702184552)	(80, 37.602751290718594)	(85, 37.140853976422314)	(90, 37.39797521147604)	(95, 37.5041151640516)	(100, 37.394315793014144)	(105, 37.36239005768293)	(110, 37.46912197500967)	(115, 37.542582782570676)	(120, 37.448470477439756)	(125, 37.32505255368885)	(130, 37.20585910566234)	(135, 37.1102534349091)	(140, 36.95455325160184)	(145, 37.012185728940686)	(150, 37.09043270605251)	(155, 36.9646570136051)	(160, 37.12160503170038)	(165, 37.175793350486856)	(170, 37.04385920656542)	(175, 36.86286262045305)	(180, 36.84481442241394)	(185, 36.92149403830954)	(190, 36.96796327127794)	(195, 36.68563308275734)	(200, 36.75124363049291)	(205, 36.51572574542153)	(210, 36.625885004120214)	(215, 36.30211391958024)	(220, 36.08457360039016)	(225, 36.02770798647899)	(230, 36.201849889847466)	(235, 36.10524864201268)	(240, 35.940470544708475)	(245, 35.8370381581824)	(250, 35.628037603215446)	(255, 35.20472562770126)	(260, 34.472895750298505)	(265, 34.15076602256866)	(270, 34.11638497889444)	(275, 33.45911238921683)	(280, 32.49913055177169)	(285, 33.089548122361805)	(290, 31.685239560735244)	(295, 16.67442947715386)	(300, 2.0)
SRR12873146_2	(1, 33.39005768292888)	(2, 36.95301279787431)	(3, 37.21756386324269)	(4, 37.419655920488374)	(5, 37.521702571346886)	(6, 37.45120495097792)	(7, 37.595899971410795)	(8, 37.43526226392883)	(9, 37.25298084523149)	(10, 37.39550308595261)	(15, 37.1937877335486)	(20, 37.16134402906009)	(25, 37.19578897801994)	(30, 37.38381850898878)	(35, 37.278018263457945)	(40, 37.047683433395555)	(45, 37.226971393976086)	(50, 36.97344567209862)	(55, 37.11753527403596)	(60, 37.145848679010484)	(65, 37.07051107411331)	(70, 37.09575366194104)	(75, 37.1319408707936)	(80, 36.76604274927265)	(85, 36.95920152027311)	(90, 36.89267948135816)	(95, 36.771959033348466)	(100, 36.910963119923316)	(105, 36.54764475388056)	(110, 36.88716008274052)	(115, 36.515668567008056)	(120, 37.04216739821402)	(125, 36.356463683298855)	(130, 36.95849856213107)	(135, 36.723747540487366)	(140, 36.55660831105057)	(145, 36.19364983266905)	(150, 36.17784168306342)	(155, 36.32092561761095)	(160, 36.31873265728268)	(165, 36.3780670332812)	(170, 36.376799017876664)	(175, 36.19457477759279)	(180, 35.75046667675697)	(185, 36.02278391604864)	(190, 35.953712392580265)	(195, 35.981067218270184)	(200, 34.9001833072667)	(205, 35.24376166691893)	(210, 33.99975110572961)	(215, 33.65054908094109)	(220, 34.14826362612044)	(225, 33.05083497300842)	(230, 31.14686443670854)	(235, 30.492454131140374)	(240, 33.007265021946424)	(245, 33.70775103846089)	(250, 29.37431343860888)	(255, 29.22843112523754)	(260, 28.59925331718884)	(265, 27.917807712358943)	(270, 27.8314380370987)	(275, 27.419588651766645)	(280, 27.223453239829816)	(285, 21.826991574592604)	(290, 23.2283436758993)	(295, 12.941647747338681)	(300, 2.0)
SRR12873147_1	(1, 33.84828421902989)	(2, 33.85455375645394)	(3, 33.90288363598047)	(4, 33.84031119384637)	(5, 37.76714902883636)	(6, 37.711091988339014)	(7, 37.61120087106178)	(8, 37.6492044536546)	(9, 37.44552351515577)	(10, 37.62620912507464)	(15, 37.683014295247794)	(20, 37.75588493554845)	(25, 37.56908433142496)	(30, 37.725822767026095)	(35, 37.61908608759791)	(40, 37.493502160092724)	(45, 37.585683678128625)	(50, 37.57243862175547)	(55, 37.55065856485546)	(60, 37.61196305012118)	(65, 37.55639071335745)	(70, 37.50695093252783)	(75, 37.4872993572407)	(80, 37.59689508622809)	(85, 37.427557865898635)	(90, 36.58649503003056)	(95, 37.53190615011766)	(100, 37.44949597836394)	(105, 37.35535808366408)	(110, 37.29206209827544)	(115, 37.49728846896842)	(120, 37.50483650029855)	(125, 37.254595904604685)	(130, 37.21458326015946)	(135, 37.055986793579436)	(140, 36.96567735590601)	(145, 36.958045028274384)	(150, 37.09086438832496)	(155, 36.93239436619719)	(160, 37.02550314354958)	(165, 37.11652909978575)	(170, 36.984514066945316)	(175, 36.84040953953145)	(180, 36.70764286466932)	(185, 36.917786519616456)	(190, 36.87717326402304)	(195, 36.68949457342559)	(200, 36.507446173299144)	(205, 36.53434020582346)	(210, 36.54098556425837)	(215, 36.342172737171154)	(220, 35.96508376944961)	(225, 36.06028590495592)	(230, 36.136015594815774)	(235, 36.00257103719575)	(240, 36.09018299322117)	(245, 35.76248463348671)	(250, 35.60919532155526)	(255, 35.537195743036776)	(260, 34.836236872607216)	(265, 34.03141090934635)	(270, 33.892546802009065)	(275, 33.992353622984794)	(280, 32.49970496294475)	(285, 33.21136595131888)	(290, 32.044543570650845)	(295, 30.469038670928313)	(300, 9.418320396192618)
SRR12873147_2	(1, 33.813283692178004)	(2, 33.71054757472516)	(3, 33.732166063713954)	(4, 33.67422991816234)	(5, 37.13218713778933)	(6, 37.39341786379123)	(7, 37.420094130870005)	(8, 37.40007375926381)	(9, 37.199641740718626)	(10, 37.458248744336345)	(15, 37.31548593305469)	(20, 36.680632924730425)	(25, 37.213178321801124)	(30, 37.36974465245338)	(35, 36.82902251413719)	(40, 37.19153524639107)	(45, 37.13730813810544)	(50, 37.01678550103614)	(55, 37.11282006251976)	(60, 37.1436479224474)	(65, 37.10552843244003)	(70, 37.09650521583366)	(75, 37.15030733026588)	(80, 37.24019177408591)	(85, 36.82807769309122)	(90, 36.82785992764568)	(95, 36.923508131080744)	(100, 36.988149344947495)	(105, 36.594183555196516)	(110, 36.63824944680552)	(115, 37.06352428787187)	(120, 36.83050823645113)	(125, 36.808615784482456)	(130, 36.831856977275116)	(135, 37.03520775525974)	(140, 36.53128095254821)	(145, 36.520129254328964)	(150, 35.594338098415925)	(155, 36.61483614906396)	(160, 35.99998243827052)	(165, 36.58379403603667)	(170, 36.498847950546164)	(175, 35.883340943416115)	(180, 36.14082750869305)	(185, 35.93577324294897)	(190, 36.08621755470479)	(195, 36.061676793930665)	(200, 35.458013417161325)	(205, 35.81080046362966)	(210, 34.49603456148361)	(215, 33.76242141126058)	(220, 33.90644866706474)	(225, 34.57294791191036)	(230, 31.713828105791855)	(235, 30.7021881914931)	(240, 31.924013908889748)	(245, 34.37131115872292)	(250, 31.30589722875909)	(255, 29.003010080432723)	(260, 29.893284394647186)	(265, 28.138098415932)	(270, 29.104267500263425)	(275, 28.4620631519792)	(280, 28.485465912683082)	(285, 23.597176073899757)	(290, 23.84825963260862)	(295, 23.794439956446908)	(300, 8.064750096589513)
SRR12873148_1	(1, 37.591438143261726)	(2, 37.787162395523936)	(3, 37.63357394487808)	(4, 37.736806658838155)	(5, 37.498065897630724)	(6, 37.61060647924294)	(7, 37.582665607515366)	(8, 37.793051046487534)	(9, 37.18311804931961)	(10, 37.71627754369)	(15, 37.70318781515507)	(20, 37.625302203495195)	(25, 37.5847516750708)	(30, 37.35740830282517)	(35, 37.52032188989432)	(40, 37.53673412999931)	(45, 37.66473716930303)	(50, 37.4508841610831)	(55, 37.62926365959798)	(60, 37.682240795744974)	(65, 37.21260274918837)	(70, 37.38982524003592)	(75, 37.54022932928093)	(80, 37.55383021344201)	(85, 37.088516267182435)	(90, 37.41359397665262)	(95, 37.433069696760384)	(100, 37.20653450300477)	(105, 37.361680596808725)	(110, 37.49379360364717)	(115, 37.46385300821994)	(120, 37.41890239690544)	(125, 37.29075429992402)	(130, 37.20655522553015)	(135, 37.04718173654763)	(140, 36.976514471230225)	(145, 37.03751122470125)	(150, 37.037504317192784)	(155, 37.01054431166678)	(160, 37.1544553429578)	(165, 37.16371140429648)	(170, 37.02891828417491)	(175, 36.882482558541135)	(180, 36.85373005456931)	(185, 36.84820404779996)	(190, 36.91370449678801)	(195, 36.66077571320025)	(200, 36.73725219313394)	(205, 36.503657525730475)	(210, 36.53447882848657)	(215, 36.28184016025419)	(220, 36.03539407335774)	(225, 35.94103060026248)	(230, 36.12649720245908)	(235, 36.03685846515161)	(240, 35.86550390274228)	(245, 35.71922014229468)	(250, 35.427305380949086)	(255, 35.03412654555502)	(260, 34.408057608620574)	(265, 33.91720314982386)	(270, 33.76685086689231)	(275, 33.160603025488705)	(280, 32.661597706707184)	(285, 32.625637217655594)	(290, 31.14776887476687)	(295, 10.849861849830766)	(300, 2.0)
SRR12873148_2	(1, 37.42524348967328)	(2, 37.5604234302687)	(3, 37.46031636388754)	(4, 37.54004628030669)	(5, 37.538664778614354)	(6, 37.621468536298956)	(7, 37.45280444843545)	(8, 37.226980728051394)	(9, 36.82941907853837)	(10, 37.444429094425644)	(15, 37.029574497478755)	(20, 37.16117980244526)	(25, 37.24167990605788)	(30, 37.404251571458175)	(35, 37.31947572010776)	(40, 36.89233957311598)	(45, 37.21860537404159)	(50, 36.95233819161429)	(55, 37.16734820750155)	(60, 37.19401119016371)	(65, 37.03187124404228)	(70, 37.177681840160254)	(75, 37.03437176210541)	(80, 36.78721420183739)	(85, 37.02461145264903)	(90, 36.74445672445949)	(95, 36.69576224355875)	(100, 36.99973751467846)	(105, 36.440709401119015)	(110, 37.009546176694066)	(115, 36.55543275540513)	(120, 37.080013124266074)	(125, 36.74061960350901)	(130, 36.932216619465365)	(135, 36.57757822753333)	(140, 36.5504144505077)	(145, 36.0777543689991)	(150, 36.271917524348964)	(155, 36.458482420390965)	(160, 36.4392070180286)	(165, 36.355228983905505)	(170, 36.34370380603716)	(175, 36.28473440629965)	(180, 35.897547834496095)	(185, 36.16069282309871)	(190, 35.948970781239204)	(195, 35.89710575395455)	(200, 34.943054500241765)	(205, 35.544135525316015)	(210, 33.990854458796704)	(215, 33.96157007667334)	(220, 34.40703184361401)	(225, 32.63302479795537)	(230, 31.49421841541756)	(235, 30.626024038129447)	(240, 33.60466256821165)	(245, 33.09710230020032)	(250, 29.068121848449266)	(255, 29.50589901222629)	(260, 28.570636181529323)	(265, 27.983083511777306)	(270, 28.009304413897905)	(275, 27.39532707052566)	(280, 27.726511017475996)	(285, 22.17583753540098)	(290, 23.150721834634247)	(295, 8.697219727844166)	(300, 2.0)
SRR12873149_1	(1, 37.69257197223299)	(2, 37.77878008386483)	(3, 37.61122661122661)	(4, 37.309225131259026)	(5, 37.491913034285915)	(6, 37.65525564678107)	(7, 37.6120194510025)	(8, 37.79428450614891)	(9, 37.556749709292085)	(10, 37.726607702878894)	(15, 37.7202966982628)	(20, 37.661214278163435)	(25, 37.591310476056236)	(30, 37.39847422389795)	(35, 37.561563127664826)	(40, 37.56892420451743)	(45, 37.694626308185626)	(50, 37.478346664787345)	(55, 37.662563867648615)	(60, 37.735388843863426)	(65, 37.10268156030868)	(70, 37.4035343035343)	(75, 37.58232143486381)	(80, 37.58243771803094)	(85, 37.10001057119702)	(90, 37.43799288206068)	(95, 37.476348708552095)	(100, 37.19894288029881)	(105, 37.36500229042601)	(110, 37.52034603051552)	(115, 37.49961591317524)	(120, 37.4422847880475)	(125, 37.31180802706226)	(130, 37.21853835582649)	(135, 37.060590577539735)	(140, 36.98137002713273)	(145, 37.081525071355586)	(150, 37.1068783255224)	(155, 37.00221995137249)	(160, 37.17823742908489)	(165, 37.21219211388703)	(170, 37.08633144226364)	(175, 36.99264949434441)	(180, 36.89308996088657)	(185, 36.97607738116213)	(190, 37.04130871419007)	(195, 36.737781458120445)	(200, 36.814112548010854)	(205, 36.56368441453187)	(210, 36.619271292152646)	(215, 36.34193946227844)	(220, 36.003319355861734)	(225, 35.966207406885374)	(230, 36.185580887275805)	(235, 36.07506254624899)	(240, 35.92383452552944)	(245, 35.84321857711688)	(250, 35.48878043623806)	(255, 35.005275027308926)	(260, 34.528172240036646)	(265, 33.975471299200116)	(270, 33.76529476021001)	(275, 33.33458895662285)	(280, 32.57314915958983)	(285, 32.73910285774692)	(290, 31.231248458367105)	(295, 11.096966066457592)	(300, 2.0)
SRR12873149_2	(1, 36.95523098065471)	(2, 37.307463265090384)	(3, 37.4633179463688)	(4, 37.57896684167871)	(5, 37.50854505091793)	(6, 37.460534197822334)	(7, 37.51629726205997)	(8, 37.079706825469536)	(9, 36.66126361041615)	(10, 37.414538919623666)	(15, 36.99677226117904)	(20, 37.12941611755171)	(25, 37.23171711476796)	(30, 37.44376827936149)	(35, 37.293107579548256)	(40, 36.86670777687727)	(45, 37.19453116741252)	(50, 37.00035589696607)	(55, 37.16720462313683)	(60, 37.21838683533599)	(65, 37.06332147010113)	(70, 37.08258923852144)	(75, 37.00477465731703)	(80, 36.832361957785686)	(85, 37.04431798160611)	(90, 36.748102470136374)	(95, 36.5774833503647)	(100, 37.03467704993129)	(105, 36.37818457309983)	(110, 36.974509320272034)	(115, 36.58049614151309)	(120, 37.082339053525494)	(125, 36.78723704147433)	(130, 36.904341238239546)	(135, 36.52963106522428)	(140, 36.50380210719194)	(145, 36.032210437295184)	(150, 36.13425772578315)	(155, 36.38215934317629)	(160, 36.409792452165334)	(165, 36.31399626484372)	(170, 36.30868600021143)	(175, 36.1987807886113)	(180, 35.82313682652666)	(185, 36.113946932591)	(190, 35.88055604496283)	(195, 35.87048874167518)	(200, 34.95518869586666)	(205, 35.522625885337746)	(210, 33.86370555692589)	(215, 33.73286937524225)	(220, 34.37469255435357)	(225, 32.32494802494803)	(230, 31.176609464745052)	(235, 30.57334296486839)	(240, 33.52246026991789)	(245, 33.13863067761373)	(250, 28.889143380668806)	(255, 29.231939109905216)	(260, 28.542320025370874)	(265, 27.76405088269495)	(270, 28.01785122802072)	(275, 27.457831495119628)	(280, 27.514672821452486)	(285, 21.927767010817856)	(290, 22.90029599351633)	(295, 8.64687621128299)	(300, 2.0)
SRR12873150_1	(1, 33.875401630195825)	(2, 33.791947103189365)	(3, 33.81937633172117)	(4, 33.914786755504444)	(5, 33.84232421280482)	(6, 37.78076910068658)	(7, 37.86369939459533)	(8, 37.72699293130855)	(9, 37.68779382419589)	(10, 37.68578482767951)	(15, 37.56740284776947)	(20, 37.8188588629215)	(25, 37.611810464369064)	(30, 37.7534041329861)	(35, 37.62681705955964)	(40, 37.44786417289546)	(45, 37.5597490445429)	(50, 37.57920316569148)	(55, 37.60496837690668)	(60, 37.616329015456415)	(65, 37.61843271214529)	(70, 37.57561808773295)	(75, 37.26841072817668)	(80, 37.62507187066662)	(85, 37.500382182838976)	(90, 36.786741975851456)	(95, 37.48050529306322)	(100, 37.39399668549396)	(105, 37.364602428382995)	(110, 36.98857171846991)	(115, 37.452071566273204)	(120, 37.47363953055772)	(125, 37.20758954239524)	(130, 37.23108533161972)	(135, 37.13040551966719)	(140, 36.937207021341365)	(145, 36.942946528224034)	(150, 37.114614265904564)	(155, 36.95356309398992)	(160, 36.97686948286942)	(165, 37.10992998951534)	(170, 37.066892143267836)	(175, 36.85157439036764)	(180, 36.82843034464098)	(185, 36.889095951567626)	(190, 36.87029796732844)	(195, 36.76065884262861)	(200, 36.458616024622046)	(205, 36.53797476916833)	(210, 36.56189332701999)	(215, 36.459481854770516)	(220, 35.94404572665472)	(225, 36.12142591402578)	(230, 36.04405925525079)	(235, 36.02298508472283)	(240, 36.02656001623431)	(245, 35.93440660195488)	(250, 35.79105759799777)	(255, 35.534599384448875)	(260, 34.91463455879865)	(265, 34.49438563263097)	(270, 34.34740081848006)	(275, 34.1338688402611)	(280, 32.74731626475462)	(285, 33.17292251496601)	(290, 32.38588629215003)	(295, 31.168931579125378)	(300, 23.684031183413943)
SRR12873150_2	(1, 33.51894003449792)	(2, 33.79519396624615)	(3, 33.631447221564585)	(4, 33.58724253390604)	(5, 33.61061318361687)	(6, 37.50328068454696)	(7, 37.64671762437853)	(8, 37.484459025264655)	(9, 37.57812764230392)	(10, 37.555348868671146)	(15, 37.262684749890084)	(20, 37.37871613623296)	(25, 37.23069300233369)	(30, 37.36968579835627)	(35, 36.58786484932526)	(40, 37.31406973991274)	(45, 37.177285487198574)	(50, 36.856928332262314)	(55, 37.15419217370717)	(60, 37.187533398721555)	(65, 37.13366591132005)	(70, 37.17123482260629)	(75, 37.17618290661886)	(80, 37.24974464774918)	(85, 36.73740656813339)	(90, 36.76196773429837)	(95, 37.165272093888454)	(100, 36.99666181891975)	(105, 36.64405587310177)	(110, 36.7477559441269)	(115, 37.08337673757906)	(120, 36.823681807420435)	(125, 37.00073054418778)	(130, 36.737890215442896)	(135, 37.08086380085906)	(140, 36.605901850035515)	(145, 36.686941522643494)	(150, 35.92268069131126)	(155, 36.7082017113674)	(160, 35.87020326715595)	(165, 36.64454966685832)	(170, 36.61019041498968)	(175, 35.94566239388507)	(180, 36.29159535969155)	(185, 35.75120573612473)	(190, 35.90888152331992)	(195, 35.977532384076845)	(200, 35.24580106199479)	(205, 35.569875198701254)	(210, 34.53076064531403)	(215, 33.843507964960935)	(220, 33.766350999425036)	(225, 34.40264822268069)	(230, 31.965329590421753)	(235, 30.62177765752359)	(240, 31.240639902594108)	(245, 33.06355058003855)	(250, 31.934453952041128)	(255, 28.757807691006867)	(260, 29.536297223255655)	(265, 27.7920113640207)	(270, 29.025268035309637)	(275, 27.967436669259648)	(280, 28.041498968444547)	(285, 23.403453174146854)	(290, 23.927567896641527)	(295, 22.859566408495958)	(300, 16.988086380085907)
