Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR12873146_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0012635036957483101)	(43.0, 0.0025270073914966202)	(44.0, 0.00758102217448986)	(45.0, 0.04674963674268747)	(46.0, 0.05685766630867395)	(47.0, 0.33988249415629546)	(48.0, 1.324151873144229)	(49.0, 2.134057742118896)	(50.0, 4.644639585570788)	(51.0, 9.891970434013519)	(52.0, 15.365468443995198)	(53.0, 15.48550129509129)	(54.0, 13.422199759934298)	(55.0, 9.601364583991408)	(56.0, 8.083896645397688)	(57.0, 7.931012698212142)	(58.0, 4.913765872765178)	(59.0, 4.364141765114663)	(60.0, 1.7347905742624297)	(61.0, 0.31587592393707753)	(62.0, 0.10739781413860636)	(63.0, 0.13140438435782423)	(64.0, 0.08339124391938846)	(65.0, 0.00631751847874155)	(66.0, 0.0025270073914966202)	(67.0, 0.0012635036957483101)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873146_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0012609068442023504)	(43.0, 0.008826347909416452)	(44.0, 0.022696323195642305)	(45.0, 0.016391788974630554)	(46.0, 0.036566298481868154)	(47.0, 0.223180511423816)	(48.0, 0.5749735209562717)	(49.0, 0.9772028042568215)	(50.0, 1.7501386997528623)	(51.0, 3.5822363443788774)	(52.0, 8.657386392293336)	(53.0, 14.070459474454028)	(54.0, 16.92641347657235)	(55.0, 18.051142381600847)	(56.0, 13.77162455237807)	(57.0, 10.009078529278256)	(58.0, 5.98678569627276)	(59.0, 3.0312200534624503)	(60.0, 1.2256014525646846)	(61.0, 0.5321026882533919)	(62.0, 0.2937912946991476)	(63.0, 0.17148333081151965)	(64.0, 0.050436273768094016)	(65.0, 0.017652695818832904)	(66.0, 0.002521813688404701)	(67.0, 0.002521813688404701)	(68.0, 0.006304534221011752)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873147_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0013118194936376753)	(43.0, 0.0)	(44.0, 0.003935458480913027)	(45.0, 0.03148366784730421)	(46.0, 0.04197822379640561)	(47.0, 0.11806375442739078)	(48.0, 0.6624688442870261)	(49.0, 1.6528925619834711)	(50.0, 3.444837990292536)	(51.0, 8.617342253705889)	(52.0, 13.506493506493506)	(53.0, 16.847697756788666)	(54.0, 16.940836940836938)	(55.0, 12.853207398661946)	(56.0, 9.122392758756396)	(57.0, 5.9018759018759015)	(58.0, 3.551095369277187)	(59.0, 3.0657221566312476)	(60.0, 1.875901875901876)	(61.0, 0.8736717827626919)	(62.0, 0.4066640430276794)	(63.0, 0.2256329529056802)	(64.0, 0.18496654860291226)	(65.0, 0.047225501770956316)	(66.0, 0.01967729240456513)	(67.0, 0.0)	(68.0, 0.0026236389872753506)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873147_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.006556947085437021)	(44.0, 0.007868336502524425)	(45.0, 0.007868336502524425)	(46.0, 0.049832797849321354)	(47.0, 0.36194347911612357)	(48.0, 0.48127991607107734)	(49.0, 1.1304176775293424)	(50.0, 1.4136777916202217)	(51.0, 4.142679168579109)	(52.0, 13.006360238672872)	(53.0, 19.10169824929513)	(54.0, 20.325224575437677)	(55.0, 15.185889449872139)	(56.0, 8.812536882827356)	(57.0, 5.430463576158941)	(58.0, 4.583306012720477)	(59.0, 2.718510261622189)	(60.0, 1.3231919218411907)	(61.0, 0.895678971870697)	(62.0, 0.642580814372828)	(63.0, 0.21375647498524686)	(64.0, 0.06819224968854502)	(65.0, 0.040653071929709524)	(66.0, 0.014425283587961446)	(67.0, 0.018359451839223658)	(68.0, 0.005245557668349616)	(69.0, 0.006556947085437021)	(70.0, 0.0039341682512622125)	(71.0, 0.001311389417087404)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873148_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0012946324538463528)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0012946324538463528)	(44.0, 0.003883897361539059)	(45.0, 0.03495507625385153)	(46.0, 0.044017503430776005)	(47.0, 0.13593640765386705)	(48.0, 0.7016907899847233)	(49.0, 2.123197224308019)	(50.0, 4.976567152585381)	(51.0, 9.664431267963025)	(52.0, 15.213225965148494)	(53.0, 16.4366536340333)	(54.0, 14.244840889671423)	(55.0, 10.351881100955438)	(56.0, 7.423422490354989)	(57.0, 7.694000673208875)	(58.0, 4.6956319101007225)	(59.0, 3.223634810077419)	(60.0, 1.7814142564925817)	(61.0, 0.6576732865539473)	(62.0, 0.20196266280003106)	(63.0, 0.17477538126925765)	(64.0, 0.1488827321923306)	(65.0, 0.040133606069236945)	(66.0, 0.022008751715388002)	(67.0, 0.0012946324538463528)	(68.0, 0.0012946324538463528)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873148_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0026012876373805033)	(41.0, 0.0)	(42.0, 0.0039019314560707554)	(43.0, 0.015607725824283021)	(44.0, 0.01690836964297327)	(45.0, 0.013006438186902516)	(46.0, 0.0780386291214151)	(47.0, 0.2289133120894843)	(48.0, 0.7023476620927359)	(49.0, 1.5815828835273462)	(50.0, 2.8900305651297393)	(51.0, 8.614164011185537)	(52.0, 16.91357221824803)	(53.0, 18.39110359628016)	(54.0, 17.178903557260846)	(55.0, 13.896078558886648)	(56.0, 8.2187682903037)	(57.0, 4.489822462118749)	(58.0, 3.0578136177407815)	(59.0, 1.5490667880600897)	(60.0, 0.9988944527541134)	(61.0, 0.6997463744553554)	(62.0, 0.2536255446445991)	(63.0, 0.07933927294010536)	(64.0, 0.03901931456070755)	(65.0, 0.024712232555114785)	(66.0, 0.0377186707420173)	(67.0, 0.01690836964297327)	(68.0, 0.0052025752747610066)	(69.0, 0.0013006438186902516)	(70.0, 0.0013006438186902516)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873149_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0013180961419325926)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0039542884257977775)	(45.0, 0.025043826696719257)	(46.0, 0.02108953827092148)	(47.0, 0.16080772931577628)	(48.0, 0.5417375143342955)	(49.0, 1.6647554272608642)	(50.0, 3.827751196172249)	(51.0, 8.758748863142078)	(52.0, 16.588239946221677)	(53.0, 18.34394400727589)	(54.0, 16.30484927570617)	(55.0, 12.138347371057245)	(56.0, 7.207349704087417)	(57.0, 5.944613600115992)	(58.0, 3.818524523178721)	(59.0, 2.81149907074222)	(60.0, 1.2034217775844571)	(61.0, 0.2952535357929007)	(62.0, 0.11467436434813556)	(63.0, 0.1080838836384726)	(64.0, 0.08435815308368592)	(65.0, 0.01581715370319111)	(66.0, 0.009226672993528147)	(67.0, 0.006590480709662962)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873149_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0013205678441729944)	(41.0, 0.002641135688345989)	(42.0, 0.0013205678441729944)	(43.0, 0.003961703532518983)	(44.0, 0.005282271376691978)	(45.0, 0.003961703532518983)	(46.0, 0.02641135688345989)	(47.0, 0.14790359854737536)	(48.0, 0.2918454935622318)	(49.0, 0.6774513040607462)	(50.0, 1.0855067679102013)	(51.0, 2.789039286893364)	(52.0, 9.625619016176955)	(53.0, 16.70518322878838)	(54.0, 19.70947507428194)	(55.0, 19.459887751733245)	(56.0, 12.332783096731594)	(57.0, 8.574447012215252)	(58.0, 4.380323539121822)	(59.0, 2.2621327170683396)	(60.0, 0.9851436117530539)	(61.0, 0.4859689666556619)	(62.0, 0.2575107296137339)	(63.0, 0.1188511059755695)	(64.0, 0.034334763948497854)	(65.0, 0.015846814130075933)	(66.0, 0.013205678441729944)	(67.0, 0.0013205678441729944)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0013205678441729944)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873150_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0012664479933131546)	(41.0, 0.010131583946505237)	(42.0, 0.05065791973252619)	(43.0, 0.0012664479933131546)	(44.0, 0.017730271906384164)	(45.0, 0.062055951672344574)	(46.0, 0.054457263712465655)	(47.0, 0.18490140702372057)	(48.0, 0.9511024429781791)	(49.0, 1.6096553995010194)	(50.0, 2.6481427540178064)	(51.0, 6.779296108205317)	(52.0, 9.877027899849294)	(53.0, 11.338508884132672)	(54.0, 11.589265586808677)	(55.0, 11.40183128379833)	(56.0, 14.000582566076925)	(57.0, 12.7949240764428)	(58.0, 5.535644178771799)	(59.0, 5.97383518445815)	(60.0, 3.521991869403883)	(61.0, 0.8890464913058345)	(62.0, 0.2963488304352782)	(63.0, 0.19883233495016525)	(64.0, 0.16210534314408379)	(65.0, 0.043059231772647255)	(66.0, 0.0037993439799394635)	(67.0, 0.0)	(68.0, 0.0012664479933131546)	(69.0, 0.0012664479933131546)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873150_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0012756078271296272)	(40.0, 0.007653646962777764)	(41.0, 0.006378039135648136)	(42.0, 0.010204862617037017)	(43.0, 0.07781207745490726)	(44.0, 0.05102431308518509)	(45.0, 0.03316580350537031)	(46.0, 0.075260861800648)	(47.0, 0.4349822690512029)	(48.0, 0.5485113656657398)	(49.0, 1.2028981809832384)	(50.0, 1.77947291884583)	(51.0, 4.030920733729622)	(52.0, 9.470112508610352)	(53.0, 13.531647830191085)	(54.0, 16.4298288134296)	(55.0, 20.39824476362987)	(56.0, 12.259866826542847)	(57.0, 8.285072837206929)	(58.0, 6.089751766716841)	(59.0, 3.0895221573079574)	(60.0, 0.982218026889813)	(61.0, 0.5421333265300916)	(62.0, 0.41967497512564733)	(63.0, 0.1594509783912034)	(64.0, 0.04464627394953695)	(65.0, 0.0140316860984259)	(66.0, 0.012756078271296272)	(67.0, 0.00892925478990739)	(68.0, 0.0012756078271296272)	(69.0, 0.0012756078271296272)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
