Sample	Unique Reads	Duplicate Reads
SRR12873146_1	1245.0	58218.0
SRR12873146_2	4027.0	55436.0
SRR12873147_1	1310.0	55632.0
SRR12873147_2	4063.0	52879.0
SRR12873148_1	1233.0	56675.0
SRR12873148_2	3830.0	54078.0
SRR12873149_1	1089.0	55669.0
SRR12873149_2	3537.0	53221.0
SRR12873150_1	1163.0	57971.0
SRR12873150_2	3844.0	55290.0
SRR12873151_1	910.0	37317.0
SRR12873151_2	2713.0	35514.0
SRR12873152_1	1148.0	48271.0
SRR12873152_2	3354.0	46065.0
SRR12873153_1	786.0	37783.0
SRR12873153_2	2842.0	35727.0
SRR12873154_1	1017.0	37735.0
SRR12873154_2	3101.0	35651.0
SRR12873155_1	785.0	39394.0
SRR12873155_2	2573.0	37606.0
SRR12873156_1	786.0	30111.0
SRR12873156_2	2316.0	28581.0
SRR12873157_1	835.0	29952.0
SRR12873157_2	2554.0	28233.0
SRR12873158_1	912.0	29998.0
SRR12873158_2	2480.0	28430.0
SRR12873159_1	817.0	37032.0
SRR12873159_2	2535.0	35314.0
SRR12873160_1	1068.0	49904.0
SRR12873160_2	3639.0	47333.0
SRR12873161_1	1248.0	60852.0
SRR12873161_2	4351.0	57749.0
SRR12873162_1	1024.0	43398.0
SRR12873162_2	3387.0	41035.0
SRR12873163_1	1174.0	50740.0
SRR12873163_2	3551.0	48363.0
SRR12873164_1	923.0	49878.0
SRR12873164_2	2945.0	47856.0
SRR12873165_1	1171.0	49731.0
SRR12873165_2	3284.0	47618.0
SRR12873166_1	790.0	38745.0
SRR12873166_2	3068.0	36467.0
SRR12873167_1	1006.0	48034.0
SRR12873167_2	3119.0	45921.0
SRR12873168_1	988.0	49008.0
SRR12873168_2	3095.0	46901.0
SRR12873169_1	1024.0	53264.0
SRR12873169_2	3733.0	50555.0
SRR12873170_1	1097.0	50511.0
SRR12873170_2	3917.0	47691.0
SRR12873171_1	904.0	44073.0
SRR12873171_2	3269.0	41708.0
SRR12873172_1	1035.0	42070.0
SRR12873172_2	3194.0	39911.0
SRR12873173_1	1000.0	51236.0
SRR12873173_2	3132.0	49104.0
SRR12873174_1	1370.0	63165.0
SRR12873174_2	3733.0	60802.0
SRR12873175_1	1149.0	56046.0
SRR12873175_2	3702.0	53493.0
SRR12873176_1	1102.0	54242.0
SRR12873176_2	3501.0	51843.0
SRR12873177_1	1061.0	46995.0
SRR12873177_2	3247.0	44809.0
SRR12873178_1	1279.0	57336.0
SRR12873178_2	3701.0	54914.0
SRR12873179_1	1371.0	59563.0
SRR12873179_2	4027.0	56907.0
SRR12873180_1	1225.0	46642.0
SRR12873180_2	3442.0	44425.0
SRR12873181_1	1035.0	53532.0
SRR12873181_2	3490.0	51077.0
SRR12873182_1	1186.0	63986.0
SRR12873182_2	4230.0	60942.0
SRR12873183_1	1017.0	49014.0
SRR12873183_2	3631.0	46400.0
SRR12873184_1	1220.0	57611.0
SRR12873184_2	3751.0	55080.0
SRR12873185_1	971.0	59994.0
SRR12873185_2	3067.0	57898.0
SRR12873186_1	1333.0	71997.0
SRR12873186_2	4217.0	69113.0
SRR12873187_1	1057.0	53434.0
SRR12873187_2	3170.0	51321.0
SRR12873188_1	1006.0	59018.0
SRR12873188_2	3802.0	56222.0
SRR12873189_1	1256.0	46286.0
SRR12873189_2	3879.0	43663.0
SRR12873190_1	1138.0	43953.0
SRR12873190_2	3273.0	41818.0
SRR12873191_1	810.0	38861.0
SRR12873191_2	2758.0	36913.0
SRR12873192_1	1280.0	55039.0
SRR12873192_2	3282.0	53037.0
SRR12873193_1	1010.0	48691.0
SRR12873193_2	3235.0	46466.0
SRR12873194_1	844.0	45456.0
SRR12873194_2	3086.0	43214.0
SRR12873195_1	1261.0	52906.0
SRR12873195_2	4250.0	49917.0
SRR12873196_1	1148.0	47147.0
SRR12873196_2	3289.0	45006.0
SRR12873197_1	869.0	43917.0
SRR12873197_2	2850.0	41936.0
SRR12873198_1	1337.0	59102.0
SRR12873198_2	3616.0	56823.0
SRR12873199_1	869.0	43515.0
SRR12873199_2	3244.0	41140.0
SRR12873200_1	1244.0	58060.0
SRR12873200_2	4458.0	54846.0
SRR12873201_1	1379.0	61987.0
SRR12873201_2	3822.0	59544.0
SRR12873202_1	1002.0	55180.0
SRR12873202_2	3369.0	52813.0
SRR12873203_1	1237.0	61077.0
SRR12873203_2	3785.0	58529.0
SRR12873204_1	1098.0	47393.0
SRR12873204_2	3420.0	45071.0
SRR12873205_1	1162.0	53442.0
SRR12873205_2	3770.0	50834.0
