Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR12873146_1	(1.0, 1.227654171501606)	(2.0, 0.47760792425541937)	(3.0, 0.3582059431915645)	(4.0, 0.35652422514841164)	(5.0, 0.3111178379832837)	(6.0, 0.16144493214267697)	(7.0, 0.2354405260414039)	(8.0, 0.09417621041656156)	(9.0, 0.1664900862721356)	('>10', 3.173401947429494)	('>50', 1.7523502009653062)	('>100', 12.584296116913038)	('>500', 6.163496628155323)	('>1k', 56.451911272556046)	('>5k', 16.48588197702773)	('>10k+', 0.0)
SRR12873146_2	(1.0, 4.549047306728554)	(2.0, 1.1805660662933253)	(3.0, 0.7265021946420462)	(4.0, 0.5919647511898155)	(5.0, 0.5381497738089231)	(6.0, 0.49442510468694817)	(7.0, 0.4120209205724568)	(8.0, 0.34979735297580006)	(9.0, 0.3027092477675193)	('>10', 12.819736642954444)	('>50', 11.203605603484519)	('>100', 47.582530312967734)	('>500', 19.24894472192792)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873147_1	(1.0, 1.3750834182150258)	(2.0, 0.569000035123459)	(3.0, 0.410944469811387)	(4.0, 0.3371852059990868)	(5.0, 0.2195216184889888)	(6.0, 0.23181482912437218)	(7.0, 0.20898458080151733)	(8.0, 0.28098767166590566)	(9.0, 0.2528889044993151)	('>10', 2.874855115731797)	('>50', 2.15131186119209)	('>100', 9.785395665765165)	('>500', 13.777176776368938)	('>1k', 45.02300586561764)	('>5k', 0.0)	('>10k+', 22.501843981595307)
SRR12873147_2	(1.0, 4.506339784341962)	(2.0, 1.3346914404130519)	(3.0, 0.8482315338414527)	(4.0, 0.5970988022900495)	(5.0, 0.5795370728109304)	(6.0, 0.6111481858733449)	(7.0, 0.5777808998630185)	(8.0, 0.6884197955814688)	(9.0, 0.6164167047170805)	('>10', 15.050402163605073)	('>50', 11.09550068490745)	('>100', 33.423483544659476)	('>500', 18.17287766499245)	('>1k', 11.898071722103193)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873148_1	(1.0, 1.262347171375285)	(2.0, 0.5974994819368653)	(3.0, 0.34710230020031774)	(4.0, 0.2832078469296125)	(5.0, 0.22449402500518065)	(6.0, 0.14505767769565517)	(7.0, 0.19341023692754025)	(8.0, 0.15196518615735305)	(9.0, 0.13987704634938178)	('>10', 3.287974027768184)	('>50', 1.314153484838019)	('>100', 8.27001450576777)	('>500', 13.01029218760793)	('>1k', 45.544657042204875)	('>5k', 25.227947779236032)	('>10k+', 0.0)
SRR12873148_2	(1.0, 4.351730330869655)	(2.0, 1.0879325827174138)	(3.0, 0.6527595496304484)	(4.0, 0.5249706430890377)	(5.0, 0.4576224355874836)	(6.0, 0.5077018719347931)	(7.0, 0.592318850590592)	(8.0, 0.5940457277060165)	(9.0, 0.6061338675139878)	('>10', 11.008841610830974)	('>50', 9.779305104648753)	('>100', 41.49858396076535)	('>500', 20.68798784278511)	('>1k', 7.650065621330386)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873149_1	(1.0, 1.1328799464392685)	(2.0, 0.4792275978716657)	(3.0, 0.31185031185031187)	(4.0, 0.3030409810070827)	(5.0, 0.24666126361041615)	(6.0, 0.1374255611543747)	(7.0, 0.23432820042989536)	(8.0, 0.12685436414249973)	(9.0, 0.25370872828499946)	('>10', 2.419042249550724)	('>50', 1.5557278269142676)	('>100', 10.944712639627893)	('>500', 6.777899150780507)	('>1k', 38.114450826315235)	('>5k', 10.241728038338207)	('>10k+', 26.720462313682653)
SRR12873149_2	(1.0, 4.054054054054054)	(2.0, 1.1452130096197892)	(3.0, 0.7399837908312484)	(4.0, 0.6272243560379154)	(5.0, 0.5197505197505198)	(6.0, 0.5391310476056238)	(7.0, 0.5919870326649987)	(8.0, 0.5356073152683322)	(9.0, 0.5074174565699989)	('>10', 12.114591775608725)	('>50', 10.0761126184855)	('>100', 17.54994890588111)	('>500', 39.38123260157159)	('>1k', 11.6177455160506)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873150_1	(1.0, 1.2429397639259985)	(2.0, 0.4768830114654852)	(3.0, 0.27902729394257114)	(4.0, 0.20969323908411405)	(5.0, 0.16910745087428553)	(6.0, 0.19278249399668548)	(7.0, 0.10653769405079988)	(8.0, 0.05411438427977137)	(9.0, 0.13697703520817128)	('>10', 2.744613927689654)	('>50', 2.6363851591301115)	('>100', 9.361788480400445)	('>500', 15.574796225521698)	('>1k', 42.183853620590526)	('>5k', 24.630500219839686)	('>10k+', 0.0)
SRR12873150_2	(1.0, 4.0653431190178235)	(2.0, 1.1059627287178273)	(3.0, 0.8117157641965704)	(4.0, 0.6155511211823993)	(5.0, 0.6256975682348564)	(6.0, 0.8015693171441133)	(7.0, 0.5090134271315995)	(8.0, 0.43291507423817094)	(9.0, 0.5631278114113708)	('>10', 13.259715223052728)	('>50', 13.241113403456556)	('>100', 40.453884398146585)	('>500', 23.514391044069402)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873151_1	(1.0, 1.420461977136579)	(2.0, 0.5388861276061423)	(3.0, 0.4551756611818871)	(4.0, 0.2929866324848929)	(5.0, 0.27467496795458707)	(6.0, 0.188348549454574)	(7.0, 0.21973997436366965)	(8.0, 0.08371046642425511)	(9.0, 0.25897925550003925)	('>10', 3.6100138645460014)	('>50', 2.5191618489549272)	('>100', 16.05932979307819)	('>500', 7.669971486122375)	('>1k', 48.196301043764876)	('>5k', 18.212258351427003)	('>10k+', 0.0)
SRR12873151_2	(1.0, 4.392183535197635)	(2.0, 1.1039317759698641)	(3.0, 0.8632641850001307)	(4.0, 0.8266408559395191)	(5.0, 0.6670677793182829)	(6.0, 0.5179585110000785)	(7.0, 0.6958432521516206)	(8.0, 0.6696837313940409)	(9.0, 0.4944149423182567)	('>10', 17.427472728699613)	('>50', 10.905904203834986)	('>100', 37.24330970256624)	('>500', 24.192324796609725)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873152_1	(1.0, 1.3861065582063579)	(2.0, 0.5220664117040005)	(3.0, 0.44314939598130276)	(4.0, 0.291385904206884)	(5.0, 0.2731742851939537)	(6.0, 0.194257269471256)	(7.0, 0.24079807361541108)	(8.0, 0.097128634735628)	(9.0, 0.218539428155163)	('>10', 3.97822699771343)	('>50', 1.7422448855703272)	('>100', 10.993747344138892)	('>500', 11.574495639329003)	('>1k', 52.22485278941298)	('>5k', 15.819826382565411)	('>10k+', 0.0)
SRR12873152_2	(1.0, 4.455776118496935)	(2.0, 1.0238976911714117)	(3.0, 0.6374066654525588)	(4.0, 0.582771808413768)	(5.0, 0.4957607397964346)	(6.0, 0.558489649729861)	(7.0, 0.6232420728869463)	(8.0, 0.7446528663064813)	(9.0, 0.7102531415042798)	('>10', 11.406544041765313)	('>50', 11.481414031040693)	('>100', 41.941358586778364)	('>500', 25.338432586656957)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873153_1	(1.0, 1.2730431175296222)	(2.0, 0.43039746947029994)	(3.0, 0.37335684098628436)	(4.0, 0.23853353729679275)	(5.0, 0.14260157121003916)	(6.0, 0.0777826752054759)	(7.0, 0.1814929088127771)	(8.0, 0.2074204672146024)	(9.0, 0.09333921024657109)	('>10', 2.78721252819622)	('>50', 2.310145453602634)	('>100', 14.612771915268738)	('>500', 12.764137001218595)	('>1k', 42.69231766444554)	('>5k', 21.815447639295808)	('>10k+', 0.0)
SRR12873153_2	(1.0, 4.519173429438149)	(2.0, 1.3949026420182011)	(3.0, 0.9411703699862584)	(4.0, 1.0578443827944723)	(5.0, 0.6611527392465452)	(6.0, 0.5289221913972362)	(7.0, 0.6533744717259976)	(8.0, 0.3526147942648241)	(9.0, 0.37335684098628436)	('>10', 16.998107288236668)	('>50', 12.0511291451684)	('>100', 45.606575228810705)	('>500', 14.861676475926261)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873154_1	(1.0, 1.5663707679603633)	(2.0, 0.7896366639141206)	(3.0, 0.32514450867052025)	(4.0, 0.3819157720891825)	(5.0, 0.3096614368290669)	(6.0, 0.18579686209744012)	(7.0, 0.2167630057803468)	(8.0, 0.18579686209744012)	(9.0, 0.09289843104872006)	('>10', 3.524979355904211)	('>50', 2.1289223781998348)	('>100', 14.280553261767134)	('>500', 14.641824938067712)	('>1k', 45.36798100743187)	('>5k', 16.00175474814203)	('>10k+', 0.0)
