Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR12873146_1	SRR12873146_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59463.0	17.8 Mbp	0.0	301.0	53.0	2.093738963725342	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873146_2	SRR12873146_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59463.0	17.8 Mbp	0.0	301.0	54.0	6.770596841733514	301.0	301	pass	fail	pass	fail	pass	pass	pass	fail	fail	pass
SRR12873147_1	SRR12873147_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56942.0	17.1 Mbp	0.0	301.0	53.0	2.3005865617646024	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR12873147_2	SRR12873147_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56942.0	17.1 Mbp	0.0	301.0	54.0	7.135330687366091	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873148_1	SRR12873148_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57908.0	17.4 Mbp	0.0	301.0	53.0	2.129239483318367	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873148_2	SRR12873148_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57908.0	17.4 Mbp	0.0	301.0	53.0	6.612212474960281	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR12873149_1	SRR12873149_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56758.0	17 Mbp	0.0	301.0	53.0	1.9186722576553086	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873149_2	SRR12873149_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56758.0	17 Mbp	0.0	301.0	54.0	6.2317206385003	301.0	301	pass	fail	pass	fail	pass	pass	pass	fail	fail	pass
SRR12873150_1	SRR12873150_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59134.0	17.7 Mbp	0.0	301.0	54.0	1.9667196536679408	301.0	301	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873150_2	SRR12873150_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59134.0	17.7 Mbp	0.0	301.0	54.0	6.500490411607536	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR12873151_1	SRR12873151_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38227.0	11.5 Mbp	0.0	301.0	54.0	2.3805163889397547	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873151_2	SRR12873151_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38227.0	11.5 Mbp	0.0	301.0	53.0	7.0970779815313785	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR12873152_1	SRR12873152_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49419.0	14.8 Mbp	0.0	301.0	54.0	2.3229931807604363	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR12873152_2	SRR12873152_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49419.0	14.8 Mbp	0.0	301.0	54.0	6.786863352152006	301.0	301	pass	fail	pass	fail	pass	pass	pass	fail	fail	pass
SRR12873153_1	SRR12873153_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38569.0	11.6 Mbp	0.0	301.0	53.0	2.0379060903834687	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12873153_2	SRR12873153_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38569.0	11.6 Mbp	0.0	301.0	54.0	7.36861209779875	301.0	301	pass	fail	pass	fail	pass	pass	pass	fail	fail	pass
SRR12873154_1	SRR12873154_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38752.0	11.6 Mbp	0.0	301.0	54.0	2.624380677126342	301.0	301	pass	fail	pass	fail	pass	pass	pass	fail	fail	pass
SRR12873154_2	SRR12873154_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38752.0	11.6 Mbp	0.0	301.0	54.0	7.999587118084229	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR12873155_1	SRR12873155_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40179.0	12 Mbp	0.0	301.0	53.0	1.9537569377037756	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
