Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR12873146_1	97.90626103627466	53.0	301.0	301	50.0	0.059462999999999995
SRR12873146_2	93.22940315826648	54.0	301.0	301	40.0	0.059462999999999995
SRR12873147_1	97.6994134382354	53.0	301.0	301	40.0	0.056942
SRR12873147_2	92.86466931263391	54.0	301.0	301	50.0	0.056942
SRR12873148_1	97.87076051668163	53.0	301.0	301	50.0	0.057907999999999994
SRR12873148_2	93.38778752503971	53.0	301.0	301	40.0	0.057907999999999994
SRR12873149_1	98.0813277423447	53.0	301.0	301	50.0	0.056757999999999996
SRR12873149_2	93.7682793614997	54.0	301.0	301	40.0	0.056757999999999996
SRR12873150_1	98.03328034633206	54.0	301.0	301	40.0	0.059134
SRR12873150_2	93.49950958839247	54.0	301.0	301	40.0	0.059134
SRR12873151_1	97.61948361106025	54.0	301.0	301	50.0	0.038227
SRR12873151_2	92.90292201846862	53.0	301.0	301	40.0	0.038227
SRR12873152_1	97.67700681923957	54.0	301.0	301	40.0	0.049419
SRR12873152_2	93.21313664784799	54.0	301.0	301	40.0	0.049419
SRR12873153_1	97.96209390961653	53.0	301.0	301	40.0	0.038569
SRR12873153_2	92.63138790220125	54.0	301.0	301	40.0	0.038569
SRR12873154_1	97.37561932287366	54.0	301.0	301	40.0	0.038751999999999995
SRR12873154_2	92.00041288191576	54.0	301.0	301	40.0	0.038751999999999995
SRR12873155_1	98.04624306229623	53.0	301.0	301	50.0	0.040179
SRR12873155_2	93.59615719654546	53.0	301.0	301	40.0	0.040179
SRR12873156_1	97.45606369550441	53.0	301.0	301	40.0	0.030896999999999997
SRR12873156_2	92.5041266142344	53.0	301.0	301	40.0	0.030896999999999997
SRR12873157_1	97.28781628609478	52.0	301.0	301	50.0	0.030787
SRR12873157_2	91.70429077207912	53.0	301.0	301	40.0	0.030787
SRR12873158_1	97.04949854416047	53.0	301.0	301	40.0	0.03091
SRR12873158_2	91.9767065674539	53.0	301.0	301	40.0	0.03091
SRR12873159_1	97.84142249464979	53.0	301.0	301	40.0	0.037849
SRR12873159_2	93.30233295463553	54.0	301.0	301	50.0	0.037849
SRR12873160_1	97.90669387114494	54.0	301.0	301	40.0	0.050971999999999996
SRR12873160_2	92.86078631405478	54.0	301.0	301	40.0	0.050971999999999996
SRR12873161_1	97.99033816425121	54.0	301.0	301	40.0	0.062099999999999995
SRR12873161_2	92.9951690821256	54.0	301.0	301	40.0	0.062099999999999995
SRR12873162_1	97.69483589212552	54.0	301.0	301	40.0	0.044421999999999996
SRR12873162_2	92.37539957678628	54.0	301.0	301	40.0	0.044421999999999996
SRR12873163_1	97.73856763108218	54.0	301.0	301	40.0	0.051913999999999995
SRR12873163_2	93.1598412759564	54.0	301.0	301	40.0	0.051913999999999995
SRR12873164_1	98.18310663175922	53.0	301.0	301	50.0	0.050801
SRR12873164_2	94.20287002224366	54.0	301.0	301	40.0	0.050801
SRR12873165_1	97.69950100192527	53.0	301.0	301	50.0	0.050901999999999996
SRR12873165_2	93.54838709677419	53.0	301.0	301	40.0	0.050901999999999996
SRR12873166_1	98.00177058302769	53.0	301.0	301	30.0	0.039535
SRR12873166_2	92.23978753003668	53.0	301.0	301	40.0	0.039535
SRR12873167_1	97.94861337683524	53.0	301.0	301	50.0	0.04904
SRR12873167_2	93.63988580750407	53.0	301.0	301	40.0	0.04904
SRR12873168_1	98.02384190735259	53.0	301.0	301	40.0	0.049996
SRR12873168_2	93.80950476038083	53.0	301.0	301	40.0	0.049996
SRR12873169_1	98.11376363100501	53.0	301.0	301	30.0	0.054287999999999996
SRR12873169_2	93.12371058060714	53.0	301.0	301	50.0	0.054287999999999996
SRR12873170_1	97.8743605642536	53.0	301.0	301	40.0	0.051608
SRR12873170_2	92.41009145868857	53.0	301.0	301	40.0	0.051608
SRR12873171_1	97.99008382061943	52.0	301.0	301	50.0	0.044976999999999996
SRR12873171_2	92.7318407185895	53.0	301.0	301	50.0	0.044976999999999996
SRR12873172_1	97.59888644008815	54.0	301.0	301	50.0	0.043105
SRR12873172_2	92.59018675327688	53.0	301.0	301	50.0	0.043105
SRR12873173_1	98.08561145570106	55.0	301.0	301	50.0	0.052236
SRR12873173_2	94.00413507925569	56.0	301.0	301	50.0	0.052236
SRR12873174_1	97.87712094212444	54.0	301.0	301	40.0	0.064535
SRR12873174_2	94.21709150073603	54.0	301.0	301	40.0	0.064535
SRR12873175_1	97.99108313663781	53.0	301.0	301	50.0	0.057194999999999996
SRR12873175_2	93.52740624180436	53.0	301.0	301	40.0	0.057194999999999996
SRR12873176_1	98.00881757733448	53.0	301.0	301	50.0	0.055344
SRR12873176_2	93.67411101474414	54.0	301.0	301	40.0	0.055344
SRR12873177_1	97.79215914766107	53.0	301.0	301	50.0	0.048055999999999995
SRR12873177_2	93.2432994839354	54.0	301.0	301	40.0	0.048055999999999995
SRR12873178_1	97.81796468480765	54.0	301.0	301	40.0	0.058615
SRR12873178_2	93.68591657425574	54.0	301.0	301	40.0	0.058615
SRR12873179_1	97.7500246167985	54.0	301.0	301	40.0	0.060933999999999995
SRR12873179_2	93.39121016181443	54.0	301.0	301	40.0	0.060933999999999995
SRR12873180_1	97.4408256209915	54.0	301.0	301	40.0	0.047867
SRR12873180_2	92.80924227547162	53.0	301.0	301	50.0	0.047867
SRR12873181_1	98.10324921655946	53.0	301.0	301	40.0	0.054567
SRR12873181_2	93.60419301042755	54.0	301.0	301	40.0	0.054567
SRR12873182_1	98.18020008592647	55.0	301.0	301	40.0	0.065172
SRR12873182_2	93.50948259988952	54.0	301.0	301	40.0	0.065172
SRR12873183_1	97.96925905938318	54.0	301.0	301	50.0	0.050031
SRR12873183_2	92.74249965021687	54.0	301.0	301	40.0	0.050031
SRR12873184_1	97.9262633645527	54.0	301.0	301	40.0	0.058830999999999994
SRR12873184_2	93.62410973806327	54.0	301.0	301	40.0	0.058830999999999994
SRR12873185_1	98.4072828672189	53.0	301.0	301	40.0	0.060965
SRR12873185_2	94.97088493397851	53.0	301.0	301	40.0	0.060965
SRR12873186_1	98.18219009954998	53.0	301.0	301	50.0	0.07332999999999999
SRR12873186_2	94.24928405836629	53.0	301.0	301	40.0	0.07332999999999999
SRR12873187_1	98.0602301297462	53.0	301.0	301	40.0	0.054491
SRR12873187_2	94.18252555467876	53.0	301.0	301	40.0	0.054491
SRR12873188_1	98.32400373184059	53.0	301.0	301	30.0	0.060023999999999994
SRR12873188_2	93.66586698653872	53.0	301.0	301	40.0	0.060023999999999994
SRR12873189_1	97.3581254469732	54.0	301.0	301	50.0	0.047542
SRR12873189_2	91.84089857389256	54.0	301.0	301	30.0	0.047542
SRR12873190_1	97.47621476569604	55.0	301.0	301	50.0	0.045091
SRR12873190_2	92.74134527954581	54.0	301.0	301	40.0	0.045091
SRR12873191_1	97.95820624637645	55.0	301.0	301	50.0	0.039671
SRR12873191_2	93.04781830556325	55.0	301.0	301	40.0	0.039671
SRR12873192_1	97.72900797244269	54.0	301.0	301	40.0	0.056318999999999994
SRR12873192_2	94.17425735542179	54.0	301.0	301	40.0	0.056318999999999994
SRR12873193_1	97.96784772942195	53.0	301.0	301	50.0	0.049700999999999995
SRR12873193_2	93.49107663829702	53.0	301.0	301	50.0	0.049700999999999995
SRR12873194_1	98.17710583153348	53.0	301.0	301	40.0	0.0463
SRR12873194_2	93.33477321814254	54.0	301.0	301	40.0	0.0463
SRR12873195_1	97.67201432606569	54.0	301.0	301	40.0	0.054167
SRR12873195_2	92.15389443757269	54.0	301.0	301	40.0	0.054167
SRR12873196_1	97.62501294129827	54.0	301.0	301	40.0	0.048295
SRR12873196_2	93.18977119784657	54.0	301.0	301	50.0	0.048295
SRR12873197_1	98.05966150136203	53.0	301.0	301	50.0	0.044786
SRR12873197_2	93.63640423346581	54.0	301.0	301	50.0	0.044786
SRR12873198_1	97.78785221462962	53.0	301.0	301	50.0	0.060439
SRR12873198_2	94.01710815863929	53.0	301.0	301	40.0	0.060439
SRR12873199_1	98.04208723864456	54.0	301.0	301	30.0	0.044384
SRR12873199_2	92.69105984138429	54.0	301.0	301	40.0	0.044384
SRR12873200_1	97.90233373802779	54.0	301.0	301	40.0	0.059303999999999996
SRR12873200_2	92.48280048563335	54.0	301.0	301	40.0	0.059303999999999996
SRR12873201_1	97.82375406369346	54.0	301.0	301	50.0	0.06336599999999999
SRR12873201_2	93.96837420698797	54.0	301.0	301	40.0	0.06336599999999999
SRR12873202_1	98.2165106261792	53.0	301.0	301	50.0	0.056181999999999996
SRR12873202_2	94.0034174646684	53.0	301.0	301	40.0	0.056181999999999996
SRR12873203_1	98.01489231954297	54.0	301.0	301	50.0	0.062313999999999994
SRR12873203_2	93.92592354848028	54.0	301.0	301	40.0	0.062313999999999994
SRR12873204_1	97.73566228784723	54.0	301.0	301	40.0	0.048491
SRR12873204_2	92.94714483099956	54.0	301.0	301	40.0	0.048491
SRR12873205_1	97.87195077283715	53.0	301.0	301	30.0	0.054604
SRR12873205_2	93.09574390154567	54.0	301.0	301	40.0	0.054604
