	SRR12873146	SRR12873147	SRR12873148	SRR12873149	SRR12873150	SRR12873151	SRR12873152	SRR12873153	SRR12873154	SRR12873155	SRR12873156	SRR12873157	SRR12873158	SRR12873159	SRR12873160	SRR12873161	SRR12873162	SRR12873163	SRR12873164	SRR12873165	SRR12873166	SRR12873167	SRR12873168	SRR12873169	SRR12873170	SRR12873171	SRR12873172	SRR12873173	SRR12873174	SRR12873175	SRR12873176	SRR12873177	SRR12873178	SRR12873179	SRR12873180	SRR12873181	SRR12873182	SRR12873183	SRR12873184	SRR12873185	SRR12873186	SRR12873187	SRR12873188	SRR12873189	SRR12873190	SRR12873191	SRR12873192	SRR12873193	SRR12873194	SRR12873195	SRR12873196	SRR12873197	SRR12873198	SRR12873199	SRR12873200	SRR12873201	SRR12873202	SRR12873203	SRR12873204	SRR12873205
ASV_0001	462	149	386	258	1315	645	495	97	304	406	351	137	387	265	1304	662	349	348	248	182	289	631	541	198	495	139	1352	229	119	731	536	469	613	563	403	381	1821	303	623	155	298	350	792	577	1241	159	392	487	240	226	192	265	358	703	795	149	238	489	161	287
ASV_0002	438	104	419	266	1098	500	463	88	242	379	317	79	365	227	1130	567	314	182	232	224	244	596	487	174	389	111	1206	221	83	722	506	466	600	469	320	371	1628	241	566	158	274	330	725	469	1007	143	336	406	243	210	153	241	267	668	706	141	216	414	160	253
ASV_0003	324	278	177	212	692	485	262	12	206	78	116	75	280	96	442	460	386	251	144	44	206	155	190	444	320	21	403	168	104	112	264	180	415	432	337	198	471	380	595	204	62	202	184	417	581	0	113	231	70	338	217	126	213	316	456	97	183	275	152	176
ASV_0004	258	83	230	162	547	303	283	52	135	225	200	35	167	130	761	294	240	155	176	119	162	392	300	94	205	58	631	144	52	402	311	250	357	319	163	203	961	101	336	78	201	187	426	274	547	85	226	306	126	97	121	179	141	410	426	74	152	198	76	161
ASV_0005	227	20	66	203	165	117	182	346	111	119	53	30	35	37	97	92	179	137	88	268	82	93	154	135	163	125	138	1178	400	96	134	174	263	739	195	136	374	244	178	183	133	107	41	120	138	549	112	148	182	82	190	209	298	142	354	702	78	161	198	232
ASV_0006	205	32	121	152	409	180	197	59	98	122	55	0	109	53	494	233	298	68	102	83	107	216	217	112	143	27	352	114	63	124	198	164	389	288	49	117	591	114	252	36	59	185	86	272	324	22	39	301	143	153	56	86	78	269	265	57	94	464	78	119
ASV_0007	93	104	326	176	154	194	251	60	182	82	250	83	145	281	197	138	172	141	129	52	196	266	239	177	202	74	74	63	101	272	194	190	189	88	153	397	139	203	186	145	93	140	525	119	91	60	110	122	115	180	181	109	158	122	127	110	92	83	74	113
ASV_0008	136	134	315	227	129	103	128	73	160	156	163	154	148	298	127	128	148	178	217	93	195	217	240	357	219	195	110	74	161	349	173	177	48	13	136	79	0	155	118	292	131	407	354	35	0	0	0	163	231	0	151	70	277	122	198	125	190	137	197	159
ASV_0009	162	42	175	81	361	149	154	33	69	147	96	0	96	80	499	158	159	81	77	65	99	203	192	62	94	39	438	95	37	250	170	155	221	182	103	114	606	72	172	30	113	100	211	161	359	85	110	130	74	74	62	95	95	241	211	66	88	141	50	87
ASV_0010	115	63	273	141	145	169	111	28	127	77	72	83	88	178	101	153	66	188	313	49	151	378	141	91	162	53	40	52	66	280	331	264	52	41	279	256	36	108	263	220	115	86	331	57	46	51	52	132	90	230	175	96	154	127	159	91	120	67	117	94
ASV_0011	181	55	124	73	109	74	199	124	80	152	57	41	60	35	93	135	167	36	55	315	101	71	129	18	49	41	122	450	302	79	99	154	222	486	81	76	146	39	122	0	223	63	53	92	148	360	67	105	117	56	60	56	146	102	200	194	64	375	100	173
ASV_0012	113	114	225	174	103	90	67	48	82	91	168	141	132	232	80	110	125	133	176	76	153	181	193	297	186	165	53	62	112	238	128	102	23	0	113	54	0	105	110	255	77	334	284	0	26	26	18	137	183	0	119	59	236	100	135	126	181	124	135	107
ASV_0013	132	36	253	114	72	166	126	27	82	83	77	63	92	199	136	115	53	133	242	64	173	236	145	46	151	62	59	47	46	241	218	177	63	44	99	216	15	35	217	47	113	179	354	84	41	38	33	107	131	147	79	78	88	107	155	63	99	82	131	74
ASV_0014	77	155	96	139	76	63	57	55	78	95	99	221	87	121	70	68	83	120	144	118	99	152	161	254	107	108	35	79	90	123	89	68	12	0	124	49	0	162	86	499	103	289	218	0	10	9	0	134	103	63	96	52	126	76	83	110	172	132	147	83
ASV_0015	156	0	77	326	0	0	44	172	0	476	0	51	0	29	38	0	74	0	151	196	61	34	192	0	0	379	37	172	25	43	148	470	0	0	0	34	32	368	66	0	377	0	0	0	0	291	0	276	188	0	0	183	44	42	114	47	307	96	95	113
ASV_0016	190	0	16	338	3	0	32	102	0	258	0	45	0	97	11	37	61	11	156	170	80	16	56	0	9	135	38	301	7	61	165	147	6	26	8	870	34	77	47	115	404	10	0	0	0	614	0	84	103	0	5	108	26	86	94	0	374	60	50	97
ASV_0017	67	16	107	83	32	16	45	304	15	164	18	279	14	0	56	64	149	14	92	100	22	24	195	10	29	147	76	217	369	57	79	61	51	78	18	51	183	248	57	151	177	24	29	0	7	111	8	119	253	5	11	76	162	82	65	221	90	301	189	100
ASV_0018	43	426	148	145	79	108	57	23	73	29	171	37	105	124	72	74	79	112	136	14	62	105	124	178	129	35	44	47	124	158	79	104	31	26	119	76	15	126	74	228	33	137	221	7	15	8	16	86	103	182	109	59	111	113	92	133	83	72	83	91
ASV_0019	100	80	140	133	97	107	123	45	83	40	122	43	39	133	86	104	109	99	121	37	85	155	131	80	153	62	46	55	41	187	150	134	60	61	105	142	34	86	146	201	60	142	210	17	22	34	24	66	101	35	89	48	93	74	127	103	78	78	62	89
ASV_0020	78	120	154	97	121	131	150	20	97	30	199	33	133	131	80	124	64	124	123	19	104	92	87	139	157	0	67	20	48	96	77	79	148	26	124	132	39	78	118	204	24	130	303	52	72	21	48	59	68	47	109	61	88	119	71	69	56	40	55	56
ASV_0021	69	35	62	119	118	98	60	22	214	43	110	0	94	165	41	150	47	41	64	27	188	39	37	126	128	24	60	146	126	60	62	74	78	107	131	281	61	70	130	22	43	140	208	61	294	31	54	144	39	18	73	78	82	91	66	62	103	51	72	107
ASV_0022	49	47	163	98	90	80	121	33	73	43	104	44	65	125	103	80	63	69	83	31	84	170	109	124	98	36	43	39	63	146	95	112	107	38	69	186	46	83	115	74	49	83	287	48	38	32	40	59	60	83	110	67	92	64	78	55	57	55	37	70
ASV_0023	112	0	62	42	204	99	85	0	45	70	62	0	32	40	226	108	77	27	40	32	41	112	104	34	66	22	278	42	0	158	109	82	106	61	46	63	385	38	124	22	58	55	108	85	157	24	52	57	42	27	33	51	41	140	122	25	34	67	22	37
ASV_0024	155	0	0	159	0	0	0	206	0	511	0	106	0	0	0	0	75	0	0	197	0	14	278	0	0	338	0	130	0	0	27	10	0	0	0	8	24	37	0	0	714	0	0	0	0	139	0	69	261	0	0	120	20	26	31	19	344	74	276	40
ASV_0025	59	12	49	98	37	39	44	23	32	65	16	126	6	37	32	223	49	33	131	39	122	93	63	58	73	48	10	37	103	68	213	83	51	52	60	208	28	179	44	215	230	36	30	0	15	48	15	182	43	8	11	111	45	62	69	36	274	69	117	47
ASV_0026	35	53	98	68	51	86	89	29	48	30	61	25	73	101	87	104	85	93	105	19	73	132	78	87	76	34	29	21	59	114	106	79	129	53	65	235	69	53	85	184	36	63	165	58	19	16	102	49	47	136	110	33	73	54	60	63	45	26	57	50
ASV_0027	76	34	122	77	81	31	97	55	45	54	47	8	54	15	101	70	70	62	59	146	31	52	69	16	45	42	52	80	197	50	83	73	107	162	66	39	161	63	68	50	111	64	41	82	80	60	102	96	43	61	47	80	52	46	109	206	25	110	41	90
ASV_0028	46	82	116	78	83	87	97	0	84	19	158	27	115	120	57	99	43	99	81	16	72	89	77	122	147	13	62	20	34	73	60	68	146	21	72	139	29	79	77	155	28	102	205	27	64	0	37	42	59	39	73	32	67	94	56	55	49	32	42	56
ASV_0029	57	101	31	64	98	68	67	19	35	35	36	74	50	22	39	105	31	52	42	56	28	42	50	48	60	27	54	50	53	62	61	48	80	133	115	44	183	135	87	42	73	52	98	70	103	25	368	29	39	103	92	55	142	32	65	79	28	103	74	76
ASV_0030	66	0	20	66	83	44	74	113	39	38	29	0	41	13	30	40	65	50	28	78	38	34	56	52	48	30	48	330	133	44	42	66	78	267	54	45	89	81	58	39	61	33	0	68	59	229	60	47	47	35	64	80	110	51	151	239	33	69	62	85
ASV_0031	56	38	87	54	122	54	64	0	38	0	26	80	62	60	43	168	30	66	52	18	77	55	73	24	73	0	40	10	53	106	82	59	60	18	67	99	176	101	88	51	44	77	111	89	68	13	443	53	0	24	129	69	64	44	0	69	47	16	50	76
ASV_0032	93	16	22	59	57	45	53	86	45	46	0	24	0	0	32	35	69	39	37	69	35	22	66	45	44	50	29	392	105	45	30	52	50	203	66	29	124	95	88	36	66	25	19	37	60	171	38	53	48	34	56	100	117	52	138	192	23	47	80	65
ASV_0033	169	88	103	130	199	10	38	14	109	19	28	0	176	29	138	90	42	30	8	93	71	88	21	354	37	23	26	84	175	27	45	14	0	0	99	9	0	181	51	0	0	118	29	7	11	0	38	135	0	0	46	8	223	35	37	163	43	27	9	39
ASV_0034	54	187	66	109	45	43	75	29	51	62	136	30	66	59	30	37	79	47	51	43	52	85	87	156	74	56	46	29	41	87	36	44	57	18	84	61	24	83	59	97	45	88	139	11	25	12	9	49	65	56	38	38	81	42	84	110	47	91	69	68
ASV_0035	67	0	76	195	0	0	39	87	0	267	11	56	0	56	53	42	33	23	91	123	40	44	93	0	24	170	0	110	38	28	97	153	14	26	0	37	21	245	54	0	206	0	0	0	0	141	0	163	85	0	42	104	28	51	73	42	212	60	57	58
ASV_0036	56	0	131	41	47	49	76	12	49	14	103	20	100	99	64	74	77	38	136	42	52	117	88	25	100	63	75	40	54	105	86	82	95	57	89	133	70	41	67	25	28	36	214	24	76	52	47	40	38	33	31	26	32	65	52	54	22	57	28	43
ASV_0037	88	69	75	37	71	34	77	47	31	24	23	25	27	18	88	71	74	59	44	55	34	51	41	33	67	16	61	87	82	66	107	56	68	162	27	42	165	50	48	0	66	23	19	89	77	60	122	86	19	49	70	91	70	77	84	83	32	126	42	53
ASV_0038	74	0	88	23	72	32	75	43	35	47	23	0	34	12	70	59	66	25	28	156	25	36	37	33	27	16	51	163	222	38	52	52	124	125	0	17	101	45	37	0	57	21	38	133	93	68	87	157	48	31	78	41	82	52	62	114	17	126	16	63
