Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR12873146,AMPLICON,602,35796726,PRJNA669201,SAMN16456667,Metagenome or environmental,17643438,ANSHAN BIOTECHNOLOGY CO. LTD,9/28/19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9339308,China,Asia,China:Beijing,cows,Illumina MiSeq,rumen,missing,J_10,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-10-21T00:00:00Z,2020-10-21T18:57:00Z,1,J_10,10,SRP288032
SRR12873147,AMPLICON,602,34279084,PRJNA669201,SAMN16456670,Metagenome or environmental,16964323,ANSHAN BIOTECHNOLOGY CO. LTD,9/28/19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9339289,China,Asia,China:Beijing,cows,Illumina MiSeq,rumen,missing,J_13,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-10-21T00:00:00Z,2020-10-21T18:57:00Z,1,J_13,13,SRP288032
SRR12873148,AMPLICON,602,34860616,PRJNA669201,SAMN16456666,Metagenome or environmental,17192858,ANSHAN BIOTECHNOLOGY CO. LTD,9/28/19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9339307,China,Asia,China:Beijing,cows,Illumina MiSeq,rumen,missing,J_9,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-10-21T00:00:00Z,2020-10-21T18:57:00Z,1,J_9,9,SRP288032
SRR12873149,AMPLICON,602,34168316,PRJNA669201,SAMN16456665,Metagenome or environmental,16798896,ANSHAN BIOTECHNOLOGY CO. LTD,9/28/19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9339306,China,Asia,China:Beijing,cows,Illumina MiSeq,rumen,missing,J_8,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-10-21T00:00:00Z,2020-10-21T18:57:00Z,1,J_8,8,SRP288032
SRR12873150,AMPLICON,602,35598668,PRJNA669201,SAMN16456664,Metagenome or environmental,17521879,ANSHAN BIOTECHNOLOGY CO. LTD,9/28/19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9339305,China,Asia,China:Beijing,cows,Illumina MiSeq,rumen,missing,J_7,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-10-21T00:00:00Z,2020-10-21T18:57:00Z,1,J_7,7,SRP288032
SRR12873151,AMPLICON,602,23012654,PRJNA669201,SAMN16456717,Metagenome or environmental,11333323,ANSHAN BIOTECHNOLOGY CO. LTD,9/28/19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9339304,China,Asia,China:Beijing,cows,Illumina MiSeq,rumen,missing,Y_20,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-10-21T00:00:00Z,2020-10-21T18:57:00Z,1,Y_20,60,SRP288032
SRR12873152,AMPLICON,602,29750238,PRJNA669201,SAMN16456716,Metagenome or environmental,14834470,ANSHAN BIOTECHNOLOGY CO. LTD,9/28/19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9339303,China,Asia,China:Beijing,cows,Illumina MiSeq,rumen,missing,Y_19,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-10-21T00:00:00Z,2020-10-21T18:57:00Z,1,Y_19,59,SRP288032
SRR12873153,AMPLICON,602,23218538,PRJNA669201,SAMN16456715,Metagenome or environmental,11401511,ANSHAN BIOTECHNOLOGY CO. LTD,9/28/19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9339302,China,Asia,China:Beijing,cows,Illumina MiSeq,rumen,missing,Y_18,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-10-21T00:00:00Z,2020-10-21T18:57:00Z,1,Y_18,58,SRP288032
SRR12873154,AMPLICON,602,23328704,PRJNA669201,SAMN16456714,Metagenome or environmental,11599893,ANSHAN BIOTECHNOLOGY CO. LTD,9/28/19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9339301,China,Asia,China:Beijing,cows,Illumina MiSeq,rumen,missing,Y_17,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-10-21T00:00:00Z,2020-10-21T18:57:00Z,1,Y_17,57,SRP288032
SRR12873155,AMPLICON,602,24187758,PRJNA669201,SAMN16456713,Metagenome or environmental,11924046,ANSHAN BIOTECHNOLOGY CO. LTD,9/28/19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9339300,China,Asia,China:Beijing,cows,Illumina MiSeq,rumen,missing,Y_16,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-10-21T00:00:00Z,2020-10-21T18:57:00Z,1,Y_16,56,SRP288032
